"PLANNING DU 1ER SEMESTRE 2017/2018 - MASTER MVA ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","vendredi 29 septembre 2017","","","","","","","","","","","","","","","","","","","","","","",""
"","","9h00 - 12h30","","","","","","","","","","","","","","","","","","","","","","",""
"","","Réunion de rentrée","","","","","","","","","","","","","","","","","","","","","","",""
"","","Amphi Marie Curie","","","","","","","","","","","","","","","","","","","","","","",""
"","","Batiment D'Alembert ENS Cachan","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 40","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 2 octobre 2017","mardi 3 octobre 2017","mercredi 4 octobre 2017","jeudi 5 octobre 2017","vendredi 6 octobre 2017","","","","","","","","","","","","","","","","","","","","",""
"","08h45 - 10h45","09h00 - 12h00","09h00 - 12h15","","","","","","","","","","","","","","","","","","","","","",""
"","Reinforcement Learning","Probabilistic Graphical Models","Introduction à l'imagerie numérique","","","","","","","","","","","","","","","","","","","","","",""
"","A, Lazaric","Bach / Obozinski","Gousseau / Delon","","","","","","","","","","","","","","","","","","","","","",""
"","Salle Condorcet","Amphi Marie Curie","Telecom Salle C49","","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 - 13h00","13h00 - 16h00","","9h00-12h00","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Introduction to Statistical Learning","TP Optimisation et caractéristiques des minimiseurs. Application aux images.","","Unsupervised learning: From big data to low-dimensional representations","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","N, Vayatis","S Ladjal -","","R. Vidal","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle Condorcet","Salle C109","","Salle C315","","","","","","","","","","","","","","","","","","","","",""
"13h30 - 16h30","12h45 - 15h45","14h00-18h00","13h30 - 16h00","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Optimisation convexe :
  modélisation, algorithmes et applications","3D Computer Vision","Computational Statistics","Sub-pixel Image Processing","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"A, D'Aspremont","P. Monasse","S.Allassonnière","L, Moisan","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"Amphi Dussane ENS Ulm","Telecom salle C49","Amphi Curie/TP C109","Salle C103","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"","16h15 - 19h15","13h30 - 17h00","16h15 - 18h15","","","","","","","","","","","","","","","","","","","","","",""
"","Object Recognition and Computer 
 Vision","Introduction to Medical Image Analysis","TP-Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"","Ponce / Sivic","X. Pennec","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"","ENS Ulm Immeuble Rataud Amphi Galois","Salle C102","Salle C109","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 41","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 09 octobre 2017","mardi 10 octobre 2017","mercredi 11 octobre 2017","jeudi 12 octobre 2017","vendredi 13 octobre 2017","","","","","","","","","","","","","","","","","","","","",""
"10h00-12h30","08h45 - 10h45","09h00 - 12h00","","9h00-12h00","","","","","","","","","","","","","","","","","","","","",""
"Parcimonie et Compressed
  Sensing","Introduction to Statistical Learning","Probabilistic Graphical Models","Introduction à l'imagerie numérique","Unsupervised learning: From big data to low-dimensional representations","","","","","","","","","","","","","","","","","","","","",""
"G, Peyre","N, Vayatis","Bach / Obozinski","Gousseau / Delon","R. Vidal","","","","","","","","","","","","","","","","","","","","",""
"ENS Ulm salle Henri Cartan","Salle Condorcet","Amphi Marie Curie","Telecom Salle C49","Salle C315","","","","","","","","","","","","","","","","","","","","",""
"","11h00 -13h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","Analyse topologique de données","","","","","","","","","","","","","","","","","","","","","","","",""
"","J.Tierny / F.Chazal","","","","","","","","","","","","","","","","","","","","","","","",""
"","Salle C103","","","","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 - 13h00","","","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Reinforcement Learning","","","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","A, Lazaric","","","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle Condorcet","","","","","","","","","","","","","","","","","","","","","","","",""
"13h30 - 16h30","","13h30 - 16h30","13h30 - 16h00","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Optimisation convexe :
  modélisation, algorithmes et applications","","Optimisation et caractéristiques des minimiseurs. Application aux images.","Sub-pixel Image Processing","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"A, D'Aspremont","","S Ladjal","L, Moisan","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"Amphi Dussane ENS Ulm","","Salle C103","Salle C103","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"","16h15 - 19h15","13h30 - 17h00","16h15 - 18h15","","","","","","","","","","","","","","","","","","","","","",""
"","Object Recognition and Computer 
 Vision","Introduction to Medical Image Analysis","TP-Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"","Ponce / Sivic","X. Pennec","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"","ENS Ulm Immeuble Rataud Amphi Galois","Salle C102","Salle C109","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","14h00-18h00","","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","Computational Statistics","","","","","","","","","","","","","","","","","","","","","","",""
"","","S.Allassonnière","","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","Condorcet/TP C109","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 42","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 16 octobre 2017","mardi 17 octobre 2017","mercredi 18 octobre 2017","jeudi 19 octobre 2017","vendredi 20 octobre 2017","","","","","","","","","","","","","","","","","","","","",""
"10h00-12h30","08h00* - 10h00*","09h00 - 12h00","09h00 - 12h15","9h00-12h00","","","","","","","","","","","","","","","","","","","","",""
"Parcimonie et Compressed
  Sensing","Introduction to Statistical Learning","Probabilistic Graphical Models","Introduction à l'imagerie numérique","Unsupervised learning: From big data to low-dimensional representations","","","","","","","","","","","","","","","","","","","","",""
"G, Peyre","N, Vayatis","Bach / Obozinski","Gousseau / Delon","R. Vidal","","","","","","","","","","","","","","","","","","","","",""
"ENS Ulm salle Henri Cartan","Salle Condorcet","Amphi Curie","Telecom Salle C49","Salle C315","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 -13h00","","13h30 - 18h45","11h00 - 13h00","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","TP Analyse topologique de données","","Méthodes mathématiques pour les
  neurosciences","Reinforcement Learning","","","","","","","","","","","","","","","","","","","","",""
